part_id,date,location,e1,e2,age,condition_framing,order_partner,order_game,pup,game,condition_partner,abandon,prompt,we,final sample,notes
weco_final33,2/21/23,zoom,maya,eleanor,3,we,group_first,bucket_first,bunny,bucket,group,1,2,2,1,
weco_final33,2/21/23,zoom,maya,eleanor,3,we,group_first,bucket_first,cat,box,individual,1,1,95,1,child inattentive at times but not enough to exclude
weco_final34,3/4/23,zoom,maya,arod,2,you,group_first,bucket_first,bunny,bucket,group,1,4,95,1,
weco_final34,3/4/23,zoom,maya,arod,2,you,group_first,bucket_first,cat,box,individual,1,1,95,1,
weco_final35,3/4/23,zoom,maya,arod,3,we,group_first,bucket_first,bunny,bucket,group,1,1,95,1,
weco_final35,3/4/23,zoom,maya,arod,3,we,group_first,bucket_first,cat,box,individual,1,1,2,0,"e2 said ""you"" instead of ""we"" at 9:30"
weco_final36,3/4/23,zoom,maya,arod,2,you,group_first,bucket_first,bunny,bucket,group,1,1,95,0,participant uncooperative - not answering any questions
weco_final36,3/4/23,zoom,maya,arod,2,you,group_first,bucket_first,cat,box,individual,1,1,95,1,
weco_final37,3/4/23,zoom,maya,arod,3,we,group_first,box_first,cat,box,group,1,2,2,1,
weco_final37,3/4/23,zoom,maya,arod,3,we,group_first,box_first,bunny,bucket,individual,1,1,3,1,
weco_final38,3/4/23,zoom,maya,arod,2,you,group_first,box_first,cat,box,group,1,1,95,1,
weco_final38,3/4/23,zoom,maya,arod,2,you,group_first,box_first,bunny,bucket,individual,1,1,2,1,
weco_final39,3/4/23,zoom,maya,arod,3,we,group_first,box_first,cat,box,group,1,1,2?,1,can't tell how kid answers at 6:40 to who played the game
weco_final39,3/4/23,zoom,maya,arod,3,we,group_first,box_first,bunny,bucket,individual,1,1,2?,1,can't tell how kid answers at 10:40 to who played the game
weco_final40,3/4/23,zoom,maya,arod,2,you,group_first,box_first,cat,box,group,1,2,95,1,"kid said ""you"" for who played the game at 9:10"
weco_final40,3/4/23,zoom,maya,arod,2,you,group_first,box_first,bunny,bucket,individual,1,2,2,1,
weco_final41,3/6/23,zoom,maya,kaelin,2,we,group_first,box_first,cat,box,group,1,1,95,1,
weco_final41,3/6/23,zoom,maya,kaelin,2,we,group_first,box_first,bunny,bucket,individual,1,1,95,1,
weco_final42,3/6/23,zoom,maya,kaelin,3,you,group_first,box_first,cat,box,group,1,3,95,1,
weco_final42,3/6/23,zoom,maya,kaelin,3,you,group_first,box_first,bunny,bucket,individual,1,1,3,1,
weco_final43,3/11/23,zoom,maya,arod,2,we,group_first,box_first,bunny,box,group,1,1,2,1,
weco_final43,3/11/23,zoom,maya,arod,2,we,group_first,box_first,cat,bucket,individual,1,1,2?,1,can't tell how kid answers at 8:50 to who played the game
weco_final44,3/11/23,zoom,maya,arod,2,we,group_first,box_first,bunny,box,group,1,1,95,1,
weco_final44,3/11/23,zoom,maya,arod,2,we,group_first,box_first,cat,bucket,individual,1,1,95,1,
weco_final45,3/11/23,zoom,maya,arod,2,we,group_first,box_first,bunny,box,group,1,1,95,1,
weco_final45,3/11/23,zoom,maya,arod,2,we,group_first,box_first,cat,bucket,individual,1,1,95,1,
weco_final46,3/11/23,zoom,maya,arod,2,we,group_first,box_first,bunny,box,group,1,1,95,1,
weco_final46,3/11/23,zoom,maya,arod,2,we,group_first,box_first,cat,bucket,individual,1,1,95,1,
weco_final47,3/11/23,zoom,maya,arod,3,we,group_first,box_first,bunny,box,group,1,1,95,1,
weco_final47,3/11/23,zoom,maya,arod,3,we,group_first,box_first,cat,bucket,individual,1,1,2,1, 
weco_final48,3/11/23,zoom,maya,arod,3,you,individual_first,bucket_first,bunny,bucket,individual,1,1,2,1,
weco_final48,3/11/23,zoom,maya,arod,3,you,individual_first,bucket_first,cat,box,group,1,1,2,1,
weco_final49,3/11/23,zoom,maya,arod,2,you,individual_first,bucket_first,bunny,bucket,individual,1,1,95,1,
weco_final49,3/11/23,zoom,maya,arod,2,you,individual_first,bucket_first,cat,box,group,1,1,95,1,
