participant_id,sex,age,race_recoded,income_recoded,education,e1_recoded,condition_discourse,condition_framing,location,exclude_reason,ref_item,ref_ling
final25,m,4.115068493150685,White,>70k,graduate,kaelin,conventional,you,1,included,ball,proform
final25,m,4.115068493150685,White,>70k,graduate,kaelin,conventional,you,1,included,stick,np_unmod
final26,m,3.6054794520547944,White,40k-49k,college,kaelin,conventional,we,1,wrong_age,-,-
final26,m,3.6054794520547944,White,40k-49k,college,kaelin,conventional,we,1,wrong_age,-,-
final27,f,4.156164383561644,White,>70k,graduate,kaelin,conventional,we,1,included,stick,no_ling_ref
final27,f,4.156164383561644,White,>70k,graduate,kaelin,conventional,we,1,included,ball,np_unmod
final28,m,4.887671232876713,African American or Black,>70k,graduate,kaelin,conventional,you,1,included,ball,np_unmod
final28,m,4.887671232876713,African American or Black,>70k,graduate,kaelin,conventional,you,1,included,stick,np_mod
final29,f,4.424657534246576,White,>70k,college,kaelin,conventional,we,1,included,ball,proform
final29,f,4.424657534246576,White,>70k,college,kaelin,conventional,we,1,included,no_ref,0
final30,m,4.101369863013699,Biracial,>70k,graduate,kaelin,conventional,you,1,included,ball,np_unmod
final30,m,4.101369863013699,Biracial,>70k,graduate,kaelin,conventional,you,1,included,stick,proform
final31,m,4.405479452054794,White,>70k,some college,alissa,conventional,you,1,included,ball,np_unmod
final31,m,4.405479452054794,White,>70k,some college,alissa,conventional,you,1,included,stick,np_unmod
final32,m,4.5,NA,NA,NA,alissa,conventional,we,1,included,ball,np_unmod
final32,m,4.5,NA,NA,NA,alissa,conventional,we,1,included,stick,np_unmod
final33,m,4.090410958904109,White,>70k,high school diploma,alissa,conventional,you,1,included,stick,np_mod
final33,m,4.090410958904109,White,>70k,high school diploma,alissa,conventional,you,1,included,ball,np_unmod
final34,m,4.071232876712329,White,>70k,graduate,kaelin,idiosyncratic,we,0,included,ball,proform
final34,m,4.071232876712329,White,>70k,graduate,kaelin,idiosyncratic,we,0,included,stick,proform
final35,f,4.821917808219178,White,>70k,graduate,alissa,idiosyncratic,we,0,idiosyncratic,-,-
final35,f,4.821917808219178,White,>70k,graduate,alissa,idiosyncratic,we,0,idiosyncratic,-,-
final36,m,4.816438356164384,White,50k-59k,college,alissa,conventional,we,0,included,stick,np_unmod
